tag,text
N,買了馬上就後悔了，衝動是魔鬼，炒作是魔鬼的爸爸！
N,早就不喝蒙牛了！
N,還沒買的朋友...就不用買了 ......
P,回覆 ，不是吧！有優惠嗎！你好，感謝對蒙牛產品的喜愛呦，我是蒙牛微客服，歡迎關注我
P,幸虧週末提貨了，買完廣州就斷貨？酒紅色外觀很不錯。fashion。
N,那本英文單詞的書還可以，其它3本不好。
N,攝像頭位要是有就好了，開了磨具卻沒有安裝，很是掃興。寧願多個50-80都可以作為選配。
P,"東西很好噢,已經在這家買了好幾臺了.快遞也很給力.上門安裝的師傅也很好.沒有亂收費的現象."
P,服務比較好，離海邊也很近，附近有好又多，早餐品種不多。
N,將全部硬碟都分給了系統盤，拿回來還要重新分割槽安裝遍系統，煩！
P,該酒店內的桑那中心的從業人員，用欺騙的方式，賺取客人的錢。
P,用了一段時間了，趕上硬碟的WD的，沒有卡滯現象，溫度控制的也不錯，總之是一款價效比非常高的本本。
N,拿了很多別人的哲理小故事來介紹論語，實在無聊
N,"易宕機,經常查不到SD卡"
N,支援的功能太少了！
N,本書其實沒說什麼，也看不出價值在哪，作者倒是牛，把西醫批評的一無是處，感覺就是根本不懂科學
P,小巧、便宜，攜帶方便，出門時在賓館上上網，發發電郵什麼的，足夠用的了
N,朋友同時在實體店買的，有帶XP2的光碟，雖然用不上，而且裝箱清單也是DOS的，真的奇怪？
N,本來是想買回來送好朋友的，可是翻開一看，內容也太簡單了，就是畫了些小汽車，小動物什麼的，就退貨了。
N,"暈,本來給四星的,結果網頁出錯,發表出來變一星了"
N,內容空洞，講得道理都是平常人都知道的。不值得買，沒事可以到書店翻翻，不必浪費這個錢。
P,本本質量不錯，值得信賴；另外，京東的服務的確很快，服務態度也挺好。贊一個！！！！
N,盛名之下，言過其實。就單單營銷方面，本書的推廣倒是個成功的典範。
N,蒙牛始終是個不誠實的企業 以後蒙牛也不敢喝了
P,大堂和房間的裝修豪華，很好，距離廣州很近，推薦．
P,"不錯,還有果盤送,交通方便,網速快些就好了."
P,輕巧，2G記憶體Vista速度還不錯，溫度控制的確比其他品牌好很多！做工很好。
N,造假都不專業！2月30號！#蒙牛#你怎麼看？
P,30萬畫素的DV攝像
N,怎麼感覺自己不喜歡這樣的書 看了一半 不打算看了
P,恨不錯的熱水器兩個人用剛剛好，物美價廉&lsquo;
N,才買兩個月就出現問題了，簡訊發不出、宕機，已經下崗了
N,如果作者真的如書中寫的一樣樣的，那也只能轉行寫書去騙錢了。
N,房間隔音真差，隔壁有人魚水之歡，讓我一夜沒有睡好！房價也不算低，只比華陽便宜了50來塊錢！
P,幸福啟程！蒙牛的新品牌廣告片真心不錯！無
N,螢幕的邊框是指紋收集器。螢幕亮度每次調低後，再重啟，又變成最高了
N,普通的公寓房，服務水平差，不適合商旅人事入住。
P,你又知我未戒奶。。嘻嘻。我天天喝蒙牛啊。生日大快樂啊
N,如果不能裝XP就要說清楚，現在因為作業系統的事情費了老大勁了，為這個鬱悶了好久！！
P,MP3擴充套件音質還可以價格適中
N,本來是很高興的，結果書讀了一部分，發現裡面竟然有6頁是空白？！暈啊，真是氣沒處出，網上買書有風險啊
P,蒙牛+手工餅乾搭配不錯慢慢複習@菲家西點鋪
P,房間不大，佈置還行。裡火車站較近。（打的9元）
N,蒙牛經理涉嫌篡改生產日期被批捕 http:t.cn/zlvaup9 （分享自 @頭條新聞）
P,我喜歡demom製造的蒙牛奶
N,我是14號下的訂單、匯的款，怎麼還沒到呀？
P,朋友前一階段入住的。感覺很好，對這個城市的環境也有很高的評價。
P,送貨相當快，早晨7點多訂單，中午12點送到。 朋友看了配置都說這機子想當棒，超值。
P,寶貝已開始用，實用贊一個。
N,之前買過一次，所有書都相當不錯這次怎麼這樣啊`三本書那質量都？？？不過內容不錯哈``
N,裝系統對新手來說太麻煩了，弄了兩天，擁有新筆記本的喜悅都沒有了！希望京東能有這方面的服務！
P,比較適合國內客。一樓餐廳風格上有點南洋的味道
N,17號訂的貨，現在都沒收到，無從評論
P,最超值的是6芯電池 華碩的質量有保障， 鍵盤打字舒服。沒有縮小的感覺。
P,剛到貨，還沒裝，好評
P,濃濃香草，最愛的還是蒙牛奶特啦@蒙牛微客服
N,我不小心把上策點了2次，結果就買了兩本上，辦理退貨麻煩，就買給同學了，哎！！！
P,環境還不錯，我姐她們指定住的地方，住過很多次了喜歡。。。
N,"在噹噹上買了這麼多次，這本書拿到手以後卻質量很差,像是盜版書,很不滿意"
N,書不錯。就是那個速度的  慢的要死
P,相信美的質量
N,內容太簡單了，可看性一般 實用性也一般感覺白買了。。
N,喝了點蒙牛，然後再喝伊利，會不會把蒙牛毒死？
N,從來不買蒙牛的蒙牛的不能買啊！現在能吃什麼吧？到處都是安全隱患 請不要購買蒙牛產品
P,這款食品要是風行起來可了不得，蒙牛不知道要不要做這個專案？
P,房間裝修不錯，早餐也挺好。出入方便。推薦。
N,沒有其他顏色選擇。送貨的圓通服務真是一般，只送到樓下，以前京東用郵政快遞的送到到家門口的。
P,配置在2899的這個價格上顯得還不錯  昨天剛到手 系統也裝的很快  試玩了一下散熱什麼的都不錯
N,內容一般，在網站等途徑都可以獲得相關的提醒。。。紙張還行吧，字大，太浪費了
N,所有觀點都是泛泛而談，點到即止，沒有實際效用．很失望．對任何一個受過教育的女性來說都米啥大作用
P,做工還可以，外觀也不錯！操作起來（我主要只是用來辦公）速度也不慢。
N,看到網上好評如潮，才去買的，書到了後感覺挺失望。沒什麼意思。2歲半的兒子也不太喜歡。
N,從小說文字的角度來說，非常一般。它的成功也就是託了快餐文化和所謂成功學的福吧。
N,有多少老外閒的沒事糾結蒙牛的廣告語？又拿消費者當傻子，看蒙牛唱獨角戲！
P,這是幫辦公室裡同事買的，完善屏，非常的不錯，我是京東老顧客了，對京東的服務相當的滿意。
P,這樣的價位來說，功能配置相當到位。機器外觀也讓人滿意，系統安裝起來也很方便。
P,外觀不錯，我比較喜歡整體都是黑色的本本，所以我對此本非常滿意！另外，本本整體感覺本本很結實！
N,可能是因為國情不同，也可能是對這本書的期望過高，所以粗粗翻了下內容後感覺挺捻，教條太多！理論較強！
N,發熱比較大 獨顯估計都這樣  驅動太多了 很多用不上 比如拿攝像頭當相機和DV那個純屬扯淡。。。
N,好喝的不行！！！伊利蒙牛難喝死了！！三元更難喝！ 現在酸奶只喝君樂寶！！
P,質量不錯，物流也快，賣家態度也好，已經是第二次購買了，給5分。
P,用了一段時間了，還不錯！大牌子就是大牌子
N,本想賣給朋友作為英語入門的教材，沒想到效果不佳，中英文夾雜著閱讀確實不太習慣，還好是買了第一冊。
N,我是去直營店自提的。前臺小姐的態度不好，好像剛和自己的老公吵過架一樣，面部表情僵硬，架子很大。
N,我覺得這本書完全不適合我，看完了也影響不了我的一生
N,"亂了頁碼,要求更換一本正確排版的書."
P,"在保定,應該說是最好的酒店了,那裡的餐廳給酒店加分不少."
P,我在網上查詢了關於CPU所有相關的資料，配置不錯，57款流行配置，目前排名18位，價效比很高。
P,東西很好現在安裝了使用了
P,錄音效果不錯，內建的遊戲也很有趣，電話本可以存傳呼機等多項資訊，容量也非常大。
N,書收到時竟然給弄破了，那麼喜歡的書哦，心疼
N,怎麼說呢，跟這個城市一樣的毛病，髒吧。交通不算便利。
N,這本書寫得一般，沒有什麼實質性的內容。
N,"為什麼玩魔獸爭霸有的時候會卡?完流行蝴蝶劍直接顯示不出來,甚至黑屏.512的顯示卡還這麼垃圾?"
P,京東辦事效率很高，速度很快，頭天下午的訂單，第二天就收到貨了
N,"房間的環境非常差,而且房間還不隔音，住的不舒服。"
N,新硬碟竟然有壞道？？？是不是我點背還是啥情況？？？？散熱效果偏差！
N,螢幕易破，油漆易掉，常宕機。剛買時兩月不到就換了電板。售後更是差勁。
P,"音質和畫面還行,有封閉使用者組功能,卻不能封閉來電!"
P,用起來還不錯，本人還有幾張2000-100 1000-50 東券要的加qq 673946022
P,酒店的服務很熱情，對於我們的客房要求總能及時迴應。地理位置不錯，離中山北街很近，吃飯方便。
N,伊利袋裝奶完全變味了，它是怎麼了，是我買到變質的了嗎？受不了了，跟蒙牛一樣不買了以後！
P,蒙牛的新包裝我喜歡！！
P,蒙牛！你真牛！
N,看畢淑敏把女人描寫成了什麼樣子，簡直就是侮辱！！！！！！
N,沒有HDMI。還有就是下鄉補貼產品，怎麼沒有那個卡呢？還想補貼一下，結果沒找到卡，奇怪！
N,重量稍微有點美中不足 自帶vista有點慢，一旦要恢復就更慢。。。
N,記憶體太小，簡訊設定麻煩，電池配置太低
N,還沒有發現什麼不足.還沒有發現什麼不足.還沒有發現什麼不足.還沒有發現什麼不足.
N,上當的感覺。。。。聽說電視裡火啊。，書裡講些什麼都不知道，裡面故事從讀者摘摘來。。。沒意思。
N,跟住招待所沒什麼太大區別。絕對不會再住第2次的酒店！
P,這次到貨很快，看來免費快遞有進步，這個價位，這樣的品牌配置，物超所值。
N,不行老是自動關機
N,此時的切糕可是一個貶義詞 蒙牛這些傻逼是不是以為切糕很高階呀
P,功能多便宜
P,散熱很好，風扇吹出來的風始終涼涼的! 外形經典而不失時尚，認為同類機子裡面超值！
P,外形小巧，白色很精緻。 功能齊全，無線，藍芽，160G硬碟，電池續航時間長。
P,"點滴幸福從新蒙牛開始！新蒙牛,新氣象！"
P,贊
N,散熱有待加強，不過12寸的好像基本都是這樣的。。 vista的系統，用得很不習慣。。。
P,是第三次住了，感覺不錯，至少是溫馨、安全、舒適的，酒店的各場所比較熟，會有主人的感覺。
P,蒙牛真果粒、美麗有新意。
N,訊號比較差，所以導致通話質量不高。
N,書的印刷質量太差，感覺很像盜版。跟噹噹買的其他書質量不一樣。幸好內容不是假的。
P,1.外觀設計簡約，凝練。2.做工細緻，細節部分充分體顯出這點。3.大按鍵設計手感還不錯。
P,總的來說還不錯
N,衛生間特別小。內部設施不人性化，尤其燒熱水的設施明顯接觸不良，且他後面的插線板在下面，不方便使用。
N,從來沒看過，不太值得。可能不太適合吧
N,東西不錯，貨真價實，快遞也快，安裝方便，只是得自己提供安裝配件錢，價格不菲啊！
P,這家如家地段不算太好，所以感覺價效比不是太好，下次不去了。
P,輕巧，適合女士和商務人士使用，think的口碑在那裡放著的，鍵盤是全尺寸的，什麼人用都合適。
P,老霸氣了。。 視訊裡的蒙牛又霸氣了！
N,啟動項太多，開機就用1G左右記憶體，體積比以前的X60要寬出5CM左右
N,太燙了太燙了太燙了太燙了太燙了太燙了太燙了太燙了太燙了太燙了太燙了太燙了
N,說老實話沒有什麼用處，說的比較籠統。
P,2.0的WAP。64和絃的鈴音。待機時間還不錯
P,加在（第二段的最後）：淺吟低唱著那如灼灼清酒般媚人的情愫，亦是使脣齒留香，濃郁且甜蜜..
N,鍵盤手感差，整體做工一般不如HP，發票質保期寫的是“無”，不清楚質保期。
N,兒子自己拿著這幾冊書，看著看著就會大笑。這可以說是第一本令他那麼開心的書藉。
N,"這本書實在太爛了,什麼朗讀手冊,一點朗讀的內容都沒有.看了幾頁就不想看下去了."
P,第二臺
N,只能說是垃圾書，韓國人都是SB，這種書也敢拿出來賣
P,130萬畫素攝像頭的水平，不亞於同畫素的DC！效果相當不錯。選單容易操作！鬧鐘豐富！俱備紅外介面！
N,蒙牛就是牛?有問題的牛奶就不賠償?你能怎麼樣?
N,外表換有什麼用，內在也不換，反正以後不會買蒙牛了。
P,熱水氣安裝好了，售後很好，大牌子讓人放心
P,好書要與大家分享，即使不是美術愛好者，讀後也必會有收穫的，熱烈推薦給大家！
P,不錯，房間超大，服務也很不錯，而且是別墅式的設計讓人感覺挺好的。
P,體積輕巧。做工精細。價格低廉。
N,待機時間短，功能太少，玲聲小
N,"看了書評買的,可是兒子不喜歡,連一次都沒聽完.只好送人了."
N,書的裝訂 很不好 一開啟就開始掉頁了從文學的角度看 胡很有文采從情感出發  想砸雞蛋
N,沒有什麼新意，給剛出校門的人看看還可以。
N,很奇怪嗎？都這樣的。。。蒙牛的更少……
P,華碩的 大品牌 散熱很好 開了很長時間了也不熱 4799買的 值這個價錢
N,"很久不喝蒙牛了,因為,牛奶不是白的了!"
P,在張江地區的旅館當中 已是價效比較高的飯店 唯一缺點是交通較不方便
N,買到沒裝系統，很麻煩。。不過也算是省錢了。 靜音燈不亮，不知道大家有沒有解決方法。
N,"這書我看他的豐面時就感覺它是給我一個希望的書,可一看和我的想反了.沒什麼幫助的.就是覺的失敗"
N,蒙牛呢 這也算重罰？ 太貴，穿不起
N,為什麼把一個小房間留給攜程網預定的，服務員態度不怎麼樣。
P,機器工藝、設計很好，雖然是12寸寬屏，依然很輕薄，ThinkPad的風範依舊。
P,外觀不錯，螢幕大，顯示效果好，側看也看得清楚螢幕畫面。送貨快，贊！
P,跟蒙牛一樣堅挺光明這一年就沒消停過
P,第五次為貴賓客戶入住，值得推薦！服務沒話說！
N,1L的蒙牛啊，太奢侈了
N,"在我看來除了能打電話,接電話,,好像什麼功能都沒有,要的話就得出錢"
N,為孩子買的，也讓自己的心情能放鬆一些。陪兒子一起看，有更多的共同語言。我們都喜歡。
P,顯示屏效果不錯。防滑邊框新穎。拍照功能還可以。支援自編鈴聲。
N,哈哈～我不喝蒙牛的！ 太驚悚了 @凌亂的vinal
P,1999搶購的，很超值，做工比較細緻，塑料感不是很強，感覺比聯想的s10強。
P,太牛了，蒙牛坐不住了，官微比真正的贊助商伊利反應還快。伊利，看你的了
N,這本書，都是很通俗的語言，說的都是大家知道的東西，學不到什麼大家千萬不要被銷售量迷惑了
N,也許是偶太老了。。。也許是寫的太淺了。。。沒感覺...
N,“差“就一個字！以後再也不去這裡了。價格還貴的離譜，感覺被坑了。
P,暫時沒什麼問題，安裝費也很公道
P,酒店總的來說，還可以，下次去瀋陽還會去住
P,不錯
N,"鍵盤太擁擠 按著不太舒服, 也容易按錯鍵. 不過這體積大概也只能這樣"
N,這酒店太黑，要求開通寬頻，服務生送來網線，叫你簽名，沒有任何文字
N,只有一個好處離虹橋很近.....趕早飛機不用起太早......
P,這個賓館比較陳舊了，特價的房間也很一般。總體來說一般
N,訂單下了一個多禮拜了 還沒到貨 。
N,看來我真的是不適合喝蒙牛純牛奶，現在好難受 好想吐 可是吐不出 嗚嗚 想流淚了
N,早餐有時8點結束，刷卡不方便，還要壓現金，房間打掃不及時
P,"房間應該超出30平米,是HK同級酒店中少有的大;重灌之後,裝置也不錯.房"
P,金屬外殼，看起比較上檔次。攜帶方便，大一點的包都裝的下。還有正版系統盤，馬上感到放心多了。
P,是彩屏的。而且價錢比較適合學生
P,外觀喜歡
P,酒店服務意識很好，很熱情，主動介紹酒店的特色。感覺不錯。
N,蒙牛的奶夠難喝
N,我每天都喝 我不喝蒙牛已經很多年了，也不會再相信蒙牛了。
N,無任何突破，簡單就是X700的翻版
P,非常漂亮，超值之選，intel的固態硬碟果然不是蓋的，實測非常滿意！
P,用過了才來評價，挺好用的和我在商場買的一樣，應該是正品，燒水也快。五分。
N,酒店太髒且設施陳舊，不符合三星標準，前臺價格低於攜程價格
N,"一切正常,東西也不錯,就安裝費要到180太黑了"
N,試機時開了不到30分鐘，已經能用手摸到發熱升溫。還沒進一步測。
P,蒙牛香芋味雪糕，太好吃了，超愛那個味道！美了！
N,說實話，寫的實在不怎麼樣，東拼西湊，主人公那樣的心理素質還當心理師，實在米名奇妙
N,看評論說有賣到4299還送瑞星防毒，就是不知道是何時，如果訊息屬實，那確實會有點鬱悶！
P,"直接,時尚,一看就喜歡."
N,差差差，太差了！不是一般的差，我希望以後攜程不要再推薦這樣的酒店給我！！！
N,訊號總是不好，誰能總在城市裡生活，到城郊都不能用
N,沒系統 對菜鳥來講是種折磨 還不送XP驅動 官網上的音效卡驅動不對  找了會才找到對的
N,蒙牛這樣的企業好意思繼續下去，真是一點菲思都不要 絕不吃蒙牛。。 蒙牛的醜聞數不清。
P,已經貼完了，又給小區的媽媽買了一套。最值得推薦
P,昨天剛買。螢幕大，有拍攝功能。錄音效果很好。現在還沒玩轉。拍出的照片效果也還不錯。螢幕可當鏡子用。
N,翻蓋滾軸處用幾個月後就要開始脫漆，相當難看。錄音只能錄十幾秒，形同虛設。輸入法不是很方便
P,這活動，是蒙牛贊助的？
N,沒有預期的好。看過之後覺得更加不信任國內的所謂心理師。千萬不能輕易去諮詢。
N,裝xp的時候很麻煩。驅動現在有個未知裝置不知道什麼東西。 別的都驅上了。
P,4899入手，送了一堆東西，真實惠  用了還沒幾天  不太清楚，初步感覺很不錯
N,傻逼蒙牛
N,這個年代的愛情說實話無法理解很多情節我都很有意見90後不要看這種書這是一個時代的悲哀吧
N,最濫的酒店什麼都不行。這種酒店千萬別去。80年代的3星
N,一本蘊含廣博嚴謹深沉的論語，在於丹的詮釋下，變得唯美而華麗，灰色的教條變成了華麗的文學盛宴。
N,沒有什麼太大的感覺，讀了一半就放下了
N,分割槽只有一個C盤，而且沒有光碟機。備份系統比較麻煩。如果隨意分割槽的話，很可能把備份系統給破壞
N,預裝系統是Vista的 很耗資源 為此我沒要7000元那一款1g的 怕卡 不過送的盤是XP的
N,"和平時生活聯絡很小,都是些廣告語的錯誤指摘,平時用不上!"
N,買這本書是因看到書評寫得很好，故事比較簡單，覺得價格太貴，不值！
P,一個月內買了2臺，總體來說還算不錯，買完後立刻安裝了xp，vista實在是難使...
N, 很久不喝蒙牛了…………
P,不錯的。 非常方便，可以拿到國家圖書館查查資料。電池續航時間非常長，6個多小時。
N,酒店房間設施陳舊，尤其衛生間設定不合理，洗澡很不方便。前臺服務人員態度極其冷淡。
P,試用了幾天才評價，因為是自己安裝的，沒熱水出。還以為壞了後來才知是水壓不夠。水溫也夠熱。好評
P,感覺手寫識別能力強26TFT螢幕效果很好，64的YMAHA聲音也不錯，很好聽
N,很不喜歡這種小女人過著自以為小資的生活，每次都聯想到夜上海的情景，不是很讓人舒服，只有頹廢的感覺。
N,預裝的vista的確很不好使，帶來了很多麻煩，bios預設硬碟模式也很讓人尷尬，差的就拿回去返修了
P,1999元搶了一臺給朋友，聽朋友說機子還算可以，就是裝XP系統有點麻煩
P,價效比高，電池厲害，速度快，軟體豐富
P,PDA豐富色彩還算逼真
N,沒有比這個更差勁的房間了，近火車站。服務一般般
N,"房間裝置太差,連空調都沒安裝,下次如有機會再去不會再選此酒店."
N,價格比同配置其他牌子電腦貴些。 裝XP比較困難，因為SATA盤晶片驅動比較怪。
N,新機拿到手就有硬體問題，而且等了6天才到貨，第二天就返修，到現在還沒得到處理意見！
P,蒙牛也出香蕉牛奶了，味道不錯，沒韓國的那麼甜
N,書一到開啟就放不了手，一天時間就看完了，想著若干年前要是看了這本書對自己的求職會有幫助的
N,"花錢去買, 不值得, 建議要買的人三思"
N,走廊上極噪 估計是烏合之眾的住所 根本沒睡好 害得我考試時候暈糊糊的
P,外觀漂亮，電池很牛！外觀漂亮，電池很牛！外觀漂亮，電池很牛！外觀漂亮，電池很牛！
N,靠近路邊的房間太吵太吵了，根本沒有辦法睡覺。勸大家千萬不要去了。
N,是我遇到的最差的4星酒店，進門沒人管，進去要我和大堂打招呼，退房也很慢，不會再去住了
N,買完就降價，鬱悶，有點沉，重灌系統，原機中預裝東西丟失挺可惜！
N,感覺不是很適合太小的孩子，不太喜歡，
N,重量和標示的2.1kg有點不符，實際重量2.35kg。左邊的散熱不太好
N,"完全不使用,白乾白買,根本沒有仔細看"
N,抵制日貨抵制蒙牛 狗日的蒙牛， 靠 你妹！ 倒找錢也不喝蒙牛！
N,就是不能上網的.又幹嘛搞個遊覽器呢.
N,蒙牛擁有史上最爛公關團隊的公司，沒有之一！
N,"太爛了,經常黑屏,還宕機."
N,在電視上還挺喜歡于丹，買了書發現，不差，就是覺得有點不值。內容少得很。
P,嗯嗯，寫過了，除了部分材料不太好買，真的是本不錯的書。
P,裝修後還不錯，房間很乾淨，大床房很舒適。列印很貴
P,快遞真快，熱水器已經安裝好了，售後服務態度挺好，而其東西不錯，質量挺好，用起來很舒服。謝謝賣家！
P,酒店設施很好，服務也很周到，尤其是前臺，和迎賓，很熱情，謝謝他們！
P,散熱非常好，連續用了6小時不間斷吹出來的風還是涼的，非常滿意。
N,聲音有爆音，安裝系統，驅動非常麻煩，我是專業人員還搞了一天的時間
N,有沒有搞錯啊？都一個星期了還沒收到貨，地址寫得很詳細了啊！
P,叫萌仔~名字M打頭……叫“蒙牛”最好了……轉發微博
P,這個價位配置不錯，鍵盤用起來舒服，長得也還好。送得東西也很實惠哈。
P,喜歡蒙牛純奶的新包裝
N,住了一天，簡直就像噩夢！沒有一點讓我滿意的地方！！
N,通話時有電流聲，這是真的，不過也不是每次通話時都這樣；
N,"不想多說,錢多的無所謂!"
N,送貨挺快，就是外包裝只用了個塑料袋，快遞拿來時本本自身的包裝盒都有點破損了。。。
P,支援來電防火牆，可以免打攪。彩屏和鈴聲的效果都還不錯.
P,1、收貨包裝完好，配件齊全 2、價效比高 3、LED顯示屏不錯，未發現壞點 4、造型看著很輕便簡潔
N,一本書下來 也沒多少單詞 不划算的 勸大家別買 浪費錢
P,服務態度很不錯，呵呵，而且離我們去的地方非常近，非常方便，環境也很好，希望下次還可以住那裡
N,"一個多月還收不到貨,我非常不滿,請問換了你們 你們會怎麼想?"
N,剛買不到一週，現在報價已經降了300。我是5799買的 。挺噁心人的 。
N,XP的驅動不好找！我的17號提的貨，現在就降價了100元，而且還送防毒軟體！
P,好象新裝修過了，各方面都很好。可是原來一次性的刮鬍子刀沒有了，希望能繼續提供。
P,我聽到好多受災群眾在被迫地高歌政府，還看到好多領導拎著蒙牛去慰問災民。我是不是應該感動呢？
P,可以拍照。訊號相當不錯。鈴聲的效果有三星手機的味道，還算中聽
N,"我還以為很搞笑,買來才發現也不怎麼樣啊"
P,"普通標準間的房門都太次了,包括衛生間的門,而且鑰匙卡很不好用!還不如就住經濟間呢!早餐還不錯!"
N,外觀太不好了，而且內屏太小了，鍵盤挨的太緊了，沒有座充，太不方便，上當了 
N,系統好裝，驅動難找，價效比不錯 誰找全驅動的共享下QQ6930454
P,今日早餐，蒙牛新養道阿膠紅棗的不錯，很香醇。
P,兩款手機的價格都是比較合理的!比較讓消費者接受.
N,我剛剛買就降價，東西剛到手，我說上網把訂單結束，結果看到價格已經跌了200~火大啊~
P,效能不錯，執行起來很流暢 外觀很簡捷大方 螢幕超好，hp螢幕很贊，比我用過的ibm等好
N,"朋友超級喜歡她,在她的鼓動下買的,依然不是很喜歡"
P,我發現自己喜歡奶類的飲料。比如、旺仔，哇哈哈，蒙牛，果粒奶優。這是什麼狀況？沒有長大？不至於。
P,外觀漂亮，鍵盤也很舒服，主要還是覺得價效比高，5099買的挺划算滴！
N,看了幾頁，就沒有再看下去的慾望了！
P,貨收到了，十分滿意，物流很快，客服態度很好，還有禮品，好評，全5分，有需要還來，
N,太恐怖了……太噁心了……誓死不喝蒙牛了…… 消費者喝蒙牛牛奶喝出活蟲子
P,產品不錯，價格也合理，就是快遞不到我們這個城市，我到鄰近城市自提的
P,蒙牛養牛場的牛很厲害 ==你真的看到了嗎？？少年 轉發微博
N,看完了這本書，唯一收穫是-----作者告訴你要愛惜自己的身體，可這我早已知道了
N,"門縫太闊,晚上都要被蚊子叮.晚間有異味,又潮又溼跟其他人的評分一樣,是我往最差的一間如家."
N,好像不太實用。。。不知道為什麼這麼受歡迎。。。
N,好久都不喝蒙牛了
N,書是看完了，我感覺于丹先生更像一位幼兒園老師。
N,都快20天了，還沒收到，怎麼回事，等著看呢
N,熱水器不錯，就是贈品是壞的，而且什麼1塊錢換購的毛巾質量差的不得了連拿來洗碗都覺得差。
N,缺少功能，當初聽促銷員的話就是個錯誤。
N,繼續抵制。國人不買日貨，島國不會不行。國人不買蒙牛，很快就不行了。禍害少一個是一個。
N,一般一般一般一般一般一般一般一般一般
P,拍攝的影象比較理想，支援JAVA和下載網上資源，內建的英漢詞典很適用且實用，學習娛樂兩不誤。
P,真的真的很好，售後也灰常盡力，好評
P,在上海市中心的位置，因此比較牛氣。不過在周圍幾個酒店裡價效比算高的了，大床房難訂到。
N,"不想看,不想看,買來無用也.剛看覺著有點意思,可是看多一次就感到內涵不深.不想看."
N,沒有介紹的那麼好，也沒覺得可以讓人茅塞頓開的感覺，總之對記住單詞效果不佳。
N,感覺編排的很沒有章法，根本看不進去
N,"反應慢的像豬,彩信容量小,上網速度慢"
P,我只能找到這個奶了。。天友的。木有蒙牛光明
P,如果此書拍成電影，建議由張柏芝扮演長恭，不知各位書友有何感想?
P,送貨很快，包裝也很好，還沒安裝，用過後會追評哦。
P,很好的。服務很好，美的大品牌，信得過
N,沒有原版的滑鼠，我自己只能另外買了一個滑鼠。 還有，電源燈在前面，比較隱蔽，看起來不方便。
P,昨天收到貨 物流很快 客服態度很好 地方不大40升的剛剛好 昨晚自己安好澡都洗了 哈哈
