編號,詞,TF,DF
489,面臨,547,460
490,的一,547,465
491,能源,546,188
492,委員,545,335
493,郭台,543,196
494,原本,542,449
495,行業,542,345
496,大立,541,110
497,通訊,541,333
498,大型,539,388
499,高階,539,369
500,下滑,538,383
501,立光,537,106
502,中鋼,533,110
503,虧損,533,294
504,最後,533,447
505,台銘,531,193
506,年減,528,324
507,台股,528,232
508,分別,528,456
509,面對,528,414
510,首季,525,283
511,運動,525,232
512,好的,524,414
513,歷史,524,387
514,選擇,522,398
515,豐金,522,156
516,晶圓,521,203
517,印度,520,161
518,不少,520,433
519,發表,520,353
520,建立,518,372
521,行長,518,412
522,占率,517,337
523,總裁,517,368
524,這個,514,386
525,發現,514,390
526,來自,513,440
527,明顯,513,429
528,最新,510,442
529,政院,509,261
530,說明,508,390
531,標準,508,302
532,是台,507,416
533,優於,506,378
534,連續,506,413
535,來看,505,434
536,上的,504,444
537,教育,504,236
538,建議,504,328
539,支持,503,371
540,本季,502,271
541,奈米,499,129
542,利用,497,368
543,一般,496,393
544,電池,496,160
545,透露,496,416
546,包含,495,408
547,信託,495,150
548,所有,494,415
549,軟體,493,232
550,歐洲,493,299
551,尤其,492,436
552,的重,492,426
553,工程,489,261
554,人的,489,380
555,浩鼎,488,85
556,三年,487,356
557,慧手,487,258
558,一家,486,373
559,公會,484,194
560,這是,484,417
561,多元,483,331
562,行的,483,386
563,不能,481,363
564,評估,481,358
565,會有,481,412
566,越南,480,155
567,年輕,479,274
568,台中,479,213
569,濟部,479,295
570,龍頭,478,396
571,準備,478,354
572,應商,477,310
573,東會,476,246
574,單位,475,323
575,接受,475,389
576,信用,474,203
577,股純,473,239
578,年成,472,368
579,不斷,472,355
580,基礎,471,352
581,首度,471,397
582,日圓,471,154
583,應該,471,368
584,東南,469,232
585,所以,469,368
586,一次,468,369
587,討論,468,374
588,相對,468,393
589,環保,468,181
590,灣的,468,343
591,來說,467,375
592,華碩,467,129
593,司的,466,370
594,責任,466,248
595,逐漸,465,375
596,也可,464,411
597,損失,463,254
598,要是,462,410
599,虛擬,462,242
600,另一,461,409
601,水準,460,368
602,期間,460,364
603,突破,459,376
604,直接,459,366
605,方向,459,364
606,爭力,458,361
607,強化,457,365
608,國銀,457,172
609,信金,457,113
610,品質,454,310
611,發生,454,333
612,掌握,454,356
613,盈餘,453,241
614,部門,452,299
615,年全,451,354
616,宏達,451,121
617,壓力,449,348
618,亞科,449,49
619,會議,449,283
620,公平,448,148
621,樂陞,448,74
622,中小,447,227
623,鏡頭,447,134
624,新產,447,325
625,啟動,446,367
626,人力,446,248
627,運用,446,314
628,考量,446,379
629,時代,446,324
630,新創,446,196
631,控制,446,270
632,官員,445,265
633,上漲,445,267
634,記者,445,374
635,該公,445,340
636,有助,445,380
637,符合,441,384
638,幅度,440,326
639,夥伴,439,300
640,衝擊,439,359
641,今日,438,357
642,新機,437,252
643,只有,436,360
644,與台,436,354
645,榮航,436,97
646,學生,435,162
647,費用,434,273
648,在大,433,330
649,全面,433,351
650,百貨,433,134
651,因素,431,362
652,融科,429,136
653,採用,429,307
654,的經,428,351
655,基本,427,284
656,財報,427,276
657,傳出,425,343
658,改變,425,329
659,品的,424,342
660,已有,423,387
661,玉山,423,105
662,只是,422,361
663,不到,421,359
664,貢獻,421,313
665,群創,421,134
666,鼓勵,420,304
667,組件,420,267
668,研院,420,149
669,的機,420,330
670,旺季,419,304
671,文化,419,245
672,年將,418,356
673,小時,418,254
674,券商,416,122
675,這次,416,309
676,負責,416,320
677,據點,416,264
678,非常,415,338
679,改善,415,310
680,兩大,413,356
681,公告,412,298
682,順利,412,343
683,重點,412,353
684,爭取,411,327
685,下一,410,326
686,家電,409,175
687,先前,409,347
688,多年,408,351
689,動部,408,120
690,保單,408,106
691,日公,408,376
692,海集,407,204
693,為台,406,343
694,都有,405,371
695,召開,404,310
696,將會,403,337
697,加速,403,318
698,設立,403,305
699,繼續,403,341
700,知名,403,330
701,員會,401,272
702,條件,401,293
703,將於,400,343
704,配合,400,343
705,實境,399,183
706,出口,398,183
707,新藥,397,109
708,土地,396,190
709,交通,396,234
710,代理,396,216
711,兩岸,394,215
712,五年,394,309
713,體驗,394,221
714,的公,394,322
715,零組,393,251
716,一直,392,331
717,建設,392,218
718,債券,391,116
719,退休,391,161
720,的時,391,319
721,的大,391,344
722,法規,391,258
723,日表,391,374
724,匯率,390,161
725,月增,389,250
726,努力,388,321
727,線上,388,238
728,指數,388,166
729,占比,387,274
730,大家,386,276
731,友達,386,113
732,同步,386,337
733,過程,385,293
734,機關,385,275
735,挹注,385,345
736,公噸,384,90
737,法院,383,230
738,他說,382,291
739,作業,382,268
740,具有,381,316
741,他們,381,230
742,的發,381,316
743,工會,380,102
744,北市,380,214
745,上周,380,252
746,有望,380,287
747,重視,378,310
748,至今,378,335
749,帶來,377,313
750,長林,377,318
751,有的,377,330
752,後續,377,324
753,法說,376,233
754,月合,375,208
755,但是,374,311
756,核心,374,279
757,有效,374,310
758,年以,373,314
759,變化,373,306
760,英國,372,186
761,臨床,372,105
762,專案,371,236
763,動化,370,185
764,計算,370,255
765,的方,370,321
766,季增,369,220
767,購買,369,276
768,股利,369,183
769,組織,369,238
770,的關,369,321
771,的金,369,290
772,引進,369,266
773,大股,368,220
774,香港,367,219
775,學習,366,228
776,的主,366,319
777,公股,365,168
778,制度,365,212
779,兩年,365,307
780,溝通,365,238
781,持有,365,245
782,家庭,364,226
783,人數,364,205
784,放款,364,135
785,業發,363,283
786,國外,362,279
787,並不,362,320
788,效益,362,295
789,增率,361,224
790,材料,361,167
791,理事,359,192
792,大量,358,276
793,先進,358,253
794,永豐,358,100
795,出席,357,279
796,工具,356,182
797,用的,356,289
798,薪資,355,162
799,硬體,355,212
800,的電,355,271
801,收入,355,218
802,系列,354,240
803,是在,354,315
804,導入,353,249
805,事件,353,235
806,實施,352,209
807,協會,352,213
808,力的,352,313
809,邀請,352,268
810,的投,352,272
811,參加,351,274
812,長的,351,311
813,紀錄,350,273
814,的國,350,290
815,高雄,349,160
816,原因,348,306
817,人預,348,272
818,的營,348,306
819,的台,348,309
820,就會,347,305
821,購物,347,163
822,就可,346,283
823,量產,346,221
824,自行,346,200
825,永續,346,145
826,全台,345,265
827,什麼,345,242
828,議題,345,260
829,至少,345,287
830,產生,345,265
831,新興,345,243
832,對台,344,278
833,同業,344,275
834,創辦,344,261
835,金會,344,151
836,試驗,344,106
837,指標,344,257
838,仍有,341,315
839,限制,341,234
840,權益,341,252
841,三個,340,265
842,百分,340,236
843,有利,340,278
844,家公,339,240
845,萬人,339,216
846,的業,339,274
847,拓展,339,289
848,都會,338,296
849,的問,338,271
850,析師,338,242
851,工研,337,116
852,電商,337,134
853,重新,337,273
854,十年,336,235
855,一起,336,269
856,這樣,336,262
857,累積,336,256
858,相較,336,294
859,公益,335,107
860,優惠,335,205
861,邦金,335,108
862,新金,335,88
863,中的,334,295
864,主委,334,225
865,鋼鐵,334,130
866,動產,333,151
867,高的,333,293
868,者的,333,279
869,樂觀,333,280
870,廠的,332,253
871,城市,332,143
872,逐步,332,294
873,的市,332,275
874,攜手,332,267
875,年內,331,264
876,合計,331,278
877,華電,331,112
878,之外,330,298
879,金股,330,182
880,結構,330,269
881,族群,330,221
882,說會,329,218
883,美光,329,52
884,車用,328,148
885,的第,328,283
886,擬實,328,172
887,審查,327,191
888,重大,327,248
889,約新,327,246
890,比較,327,268
891,支出,327,196
892,平會,326,86
893,對外,326,270
894,作為,326,289
895,節能,326,128
896,產線,326,212
897,尺寸,325,157
898,而言,325,287
899,的高,325,298
900,彰銀,325,82
901,展開,324,286
902,樣的,324,262
903,最佳,324,236
904,單季,323,215
905,零售,323,184
906,獨立,323,206
907,注意,323,269
908,新光,323,108
909,實際,322,277
910,聯盟,322,172
911,或是,322,277
912,大數,321,187
913,動支,321,103
914,看到,321,251
915,採購,321,201
916,幾年,320,264
917,確定,320,275
918,慧型,320,196
919,化的,319,274
920,達成,319,274
921,立法,319,207
922,效率,319,232
923,升級,318,211
924,機制,318,213
925,完整,317,277
926,國信,317,100
927,認證,317,187
928,新政,317,194
929,庫存,316,209
930,將是,316,287
931,呈現,316,277
932,估計,316,258
933,定的,315,269
934,單月,315,226
935,兩家,315,222
936,元大,315,173
937,遠傳,315,87
938,的工,315,239
939,新加,315,211
940,在全,314,280
941,不動,314,131
942,高層,314,233
943,飯店,314,101
944,貸款,314,139
945,貿易,314,163
946,低於,313,247
947,下的,313,271
948,前已,312,287
949,中央,312,241
950,總統,312,205
951,成績,312,263
952,是要,311,268
953,最快,311,262
954,幾乎,310,280
955,多數,310,271
956,使得,310,264
957,營權,310,143
958,封測,309,110
959,一代,309,223
960,電動,309,103
961,用卡,309,120
962,態度,309,256
963,年在,308,258
964,灣大,308,135
965,南韓,307,175
966,而且,307,253
967,經過,307,288
968,預料,306,255
969,萬台,306,129
970,的生,306,245
971,商務,305,184
972,創投,305,99
973,辦理,305,218
974,速度,305,224
975,能夠,304,258
976,示器,304,131
977,的商,304,246
978,操作,304,202
979,觀光,303,138
980,微軟,303,89
981,團體,302,141
982,加坡,302,199
983,前三,302,227
984,修正,302,198
985,訊息,302,236
986,機械,302,137
987,年上,301,249
988,售價,301,189
989,利益,301,230
990,管機,301,223
991,比率,301,195
992,創下,300,257
993,高度,300,257
994,模組,300,185
995,期待,300,262
996,效應,300,245
997,在今,299,271
998,有限,299,236
999,一樣,298,245
1000,人事,298,170
1001,項目,298,233
1002,的需,298,259
1003,在中,297,243
1004,餐飲,297,137
1005,決方,297,204
1006,型手,296,175
1007,辦人,296,245
1008,將有,295,264
1009,目的,295,257
1010,收益,295,165
1011,是全,295,264
1012,儘管,294,268
1013,車市,294,109
1014,融資,294,157
1015,的情,294,244
1016,後的,294,269
1017,年初,293,253
1018,回應,293,244
1019,具備,293,236
1020,人口,293,169
1021,不如,293,258
1022,的事,293,244
1023,成交,293,189
1024,以下,292,229
1025,電影,292,111
1026,消息,292,232
1027,檢測,292,96
1028,引發,291,254
1029,年獲,291,223
1030,在國,291,250
1031,和碩,291,85
1032,保費,291,100
1033,下跌,291,206
1034,有不,291,271
1035,措施,291,216
1036,宏碁,290,75
1037,光電,290,143
1038,要有,290,237
1039,英特,290,113
1040,淨利,290,176
1041,幫助,289,243
1042,就業,289,156
1043,己的,288,228
1044,的股,288,216
1045,四大,287,220
1046,資的,287,252
1047,為全,287,246
1048,期的,287,254
1049,支援,287,208
1050,長動,286,246
1051,華亞,286,41
1052,特爾,286,110
1053,有意,286,234
1054,搭配,286,236
1055,多的,285,255
1056,下游,285,197
1057,的目,285,241
1058,在美,284,211
1059,地位,284,238
1060,全力,284,241
1061,值得,284,264
1062,領先,284,237
1063,避免,284,240
1064,短期,284,232
1065,建置,283,194
1066,兩個,283,252
1067,元以,283,224
1068,五大,283,206
1069,不可,283,241
1070,最近,283,242
1071,更是,283,252
1072,史新,282,209
1073,發的,282,229
1074,本周,282,198
1075,國人,281,213
1076,主力,281,224
1077,領導,281,205
1078,日舉,281,274
1079,會主,281,233
1080,地方,280,212
1081,再度,280,253
1082,綠色,280,115
1083,主因,279,263
1084,體產,279,183
1085,會在,279,263
1086,左右,278,247
1087,小企,278,120
1088,充電,278,74
1089,食品,278,132
1090,紐約,278,125
1091,新增,278,216
1092,保護,277,180
1093,並未,277,240
1094,願意,277,231
1095,開收,277,92
1096,開出,276,207
1097,轉投,276,200
1098,筆電,276,110
1099,立委,276,148
1100,的企,276,226
1101,其實,275,231
1102,任何,275,231
1103,會的,275,238
1104,即將,274,249
1105,之前,274,252
1106,鎖定,274,232
1107,概念,274,213
1108,進口,273,153
1109,聯合,273,184
1110,治療,273,95
1111,正在,273,245
1112,推廣,273,210
1113,對象,272,206
1114,位數,272,198
1115,記憶,272,126
1116,為例,272,244
1117,貨幣,271,130
1118,收為,271,187
1119,廣告,270,111
1120,尚未,270,248
1121,行為,270,195
1122,而是,270,249
1123,發電,270,104
1124,泰金,270,97
1125,機種,270,175
1126,桃園,270,135
1127,展現,269,238
1128,對此,269,252
1129,各種,269,219
1130,加強,269,231
1131,信心,269,237
1132,一銀,269,102
1133,融機,269,166
1134,提前,269,199
1135,報價,268,122
1136,台化,268,56
1137,這項,268,233
1138,華南,268,110
1139,改選,268,140
1140,電競,267,61
1141,降息,267,106
1142,龐大,266,239
1143,將可,265,231
1144,同仁,265,119
1145,即使,265,235
1146,拉貨,265,178
1147,我國,265,159
1148,展的,264,227
1149,內外,264,221
1150,掛牌,264,164
1151,將持,263,233
1152,務的,263,240
1153,下來,263,232
1154,新一,263,222
1155,前的,262,243
1156,績效,262,170
1157,程序,262,198
1158,授權,262,151
1159,張榮,261,55
1160,億日,261,95
1161,一波,261,231
1162,亞太,261,163
1163,英文,261,157
1164,現場,261,187
1165,有關,261,234
1166,成的,261,236
1167,實現,260,172
1168,區域,260,194
1169,高峰,260,225
1170,長率,260,163
1171,進度,260,196
1172,精神,260,182
1173,最多,260,219
1174,落實,259,207
1175,發出,259,201
1176,無線,259,123
1177,榮發,259,53
1178,年起,258,211
1179,便利,258,172
1180,任董,257,159
1181,上海,257,148
1182,行庫,257,117
1183,生態,257,149
1184,旅遊,257,132
1185,分點,256,167
1186,作的,256,235
1187,彰化,255,91
1188,嚴重,255,218
1189,一大,255,229
1190,市櫃,254,157
1191,個百,254,167
1192,上季,254,145
1193,每個,254,205
1194,投保,254,71
1195,年開,254,222
1196,季的,253,184
1197,容易,253,212
1198,來將,253,236
1199,簽約,253,155
1200,產險,253,55
1201,是國,253,226
1202,數字,253,177
1203,萬美,252,146
1204,比去,252,195
1205,戶的,252,208
1206,各國,251,203
1207,加碼,251,173
1208,協商,251,156
1209,控股,251,119
1210,分享,250,195
1211,兆元,250,158
1212,世代,250,173
1213,的最,250,232
1214,的影,250,217
1215,學校,249,132
1216,完全,249,207
1217,與國,249,210
1218,的行,249,219
1219,會上,249,220
1220,年後,248,215
1221,市況,248,176
1222,實驗,248,129
1223,不佳,248,215
1224,辦公,248,174
1225,的創,248,190
1226,月的,248,210
1227,授信,248,96
1228,主動,247,197
1229,給予,247,210
1230,發揮,247,203
1231,平板,246,153
1232,將成,246,224
1233,來愈,246,213
1234,長張,246,219
1235,納入,246,185
1236,畢業,246,154
1237,海運,246,82
1238,是因,246,222
1239,於台,246,224
1240,排除,246,212
1241,同意,245,185
1242,出售,245,146
1243,航線,245,77
1244,盤價,245,144
1245,淡季,245,179
1246,投信,245,87
1247,愈來,245,213
1248,不足,244,195
1249,降至,244,192
1250,都在,244,218
1251,的中,244,221
1252,新品,244,160
1253,C設,244,122
1254,後來,243,193
1255,在於,243,226
1256,決議,243,185
1257,智能,243,111
1258,有人,243,197
1259,台大,242,122
1260,一度,242,211
1261,購案,242,140
1262,角色,242,208
1263,藉由,242,216
1264,能在,242,232
1265,綠能,242,116
1266,發布,242,207
1267,建築,241,103
1268,創意,241,143
1269,互動,241,168
1270,華為,241,93
1271,測試,241,143
1272,教授,241,145
1273,場預,240,209
1274,不要,240,208
1275,高於,240,214
1276,超越,240,197
1277,的合,240,210
1278,的價,240,197
1279,會員,240,138
1280,憶體,240,100
1281,技產,240,150
1282,意願,240,195
1283,唯一,239,214
1284,規範,239,167
1285,發言,239,210
1286,才會,239,219
1287,年下,238,218
1288,對手,238,189
1289,確實,238,211
1290,用者,238,143
1291,用於,238,205
1292,每公,238,70
1293,底前,237,194
1294,局長,237,165
1295,不錯,237,207
1296,辨識,237,107
1297,歐美,237,169
1298,板廠,237,141
1299,採取,237,195
1300,網站,236,171
1301,新聞,236,161
1302,動車,235,93
1303,藥物,235,77
1304,的優,235,206
1305,擔心,235,204
1306,意外,235,158
1307,務業,234,110
1308,集中,234,188
1309,轉換,234,150
1310,起來,234,196
1311,有很,234,196
1312,實體,233,163
1313,存款,233,106
1314,出新,233,210
1315,一方,233,192
1316,三成,233,195
1317,醫院,233,90
1318,金的,233,191
1319,理的,233,194
1320,每月,233,163
1321,較高,232,215
1322,這也,232,210
1323,輕人,232,135
1324,資深,232,194
1325,漲幅,232,142
1326,機的,232,202
1327,數量,232,184
1328,旅客,232,99
1329,效果,232,179
1330,影音,232,103
1331,德國,231,150
1332,屬於,231,203
1333,動的,231,202
1334,也就,231,212
1335,院長,231,160
1336,部長,231,185
1337,配發,231,133
1338,會計,231,139
1339,差異,230,180
1340,在新,230,210
1341,可達,230,195
1342,保守,230,184
1343,超商,230,81
1344,泰國,230,111
1345,年首,230,192
1346,前一,229,191
1347,人工,229,107
1348,的技,229,176
1349,現有,229,202
1350,潤泰,229,62
1351,塑化,228,51
1352,國的,228,195
1353,同樣,228,210
1354,全國,228,152
1355,灣人,228,137
1356,很大,227,198
1357,分之,227,171
1358,不只,227,203
1359,韓國,227,149
1360,運作,227,188
1361,的專,227,174
1362,時也,227,217
1363,家的,226,198
1364,反映,226,204
1365,一成,226,189
1366,門檻,226,165
1367,總部,226,150
1368,結束,226,187
1369,潛力,226,192
1370,長郭,225,204
1371,肯定,225,174
1372,的基,225,190
1373,感測,225,102
1374,張國,224,45
1375,專家,224,174
1376,他的,224,170
1377,間的,224,201
1378,訓練,224,145
1379,自有,224,145
1380,接單,224,150
1381,在地,223,147
1382,北美,223,119
1383,論壇,223,147
1384,臨時,223,151
1385,知道,223,186
1386,理器,223,112
1387,原料,222,124
1388,入股,222,140
1389,長陳,222,198
1390,長蔡,222,192
1391,陸客,222,88
1392,釋出,222,187
1393,調降,222,123
1394,油價,222,89
1395,於去,222,187
1396,利的,221,198
1397,切入,221,177
1398,一些,221,194
1399,首次,221,202
1400,顧問,221,166
1401,如今,220,199
1402,升至,220,195
1403,下降,220,177
1404,行情,220,143
1405,的不,220,192
1406,本月,220,187
1407,恢復,220,175
1408,多家,219,196
1409,股息,219,99
1410,的地,219,191
1411,新車,219,95
1412,本市,219,152
1413,東協,219,84
1414,排名,219,151
1415,大樓,218,102
1416,只能,218,198
1417,原則,218,166
1418,出來,218,185
1419,一路,218,187
1420,最重,218,199
1421,招募,218,102
1422,思考,218,178
1423,基地,217,143
1424,力道,217,185
1425,之間,217,188
1426,一旦,217,197
1427,一天,217,166
1428,還要,217,205
1429,規格,217,152
1430,者會,217,179
1431,有更,217,206
1432,調漲,216,97
1433,月起,216,187
1434,拉高,216,171
1435,接下,216,188
1436,扮演,216,184
